6,2016,1,1,Jared Goff,QB,21,LAR,2016,2017,0,0,1,-2,20,20,09-11-00,372,623,4472,27,13,33,73,2,California,College Stats
22,2015,1,1,Jameis Winston,QB,21,TAM,2015,2017,0,1,3,24,42,42,17-25-0,863,1431,10607,64,41,129,457,7,Florida St.,College Stats
54,2012,1,1,Andrew Luck,QB,22,IND,2012,2016,0,3,4,59,70,70,43-27-0,1570,2651,19078,132,68,286,1442,14,Stanford,College Stats
66,2011,1,1,Cam Newton,QB,22,CAR,2011,2017,1,3,7,84,106,105,60-44-1,1951,3330,24492,153,90,789,4151,53,Auburn,College Stats
71,2010,1,1,Sam Bradford,QB,22,STL,2010,2017,0,0,5,42,80,80,34-45-1,1805,2887,19049,101,57,144,333,2,Oklahoma,College Stats
92,2009,1,1,Matthew Stafford,QB,21,DET,2009,2017,0,1,8,75,122,122,58-64-0,2941,4753,33986,210,117,267,941,14,Georgia,College Stats
114,2007,1,1,JaMarcus Russell,QB,22,OAK,2007,2009,0,0,2,6,31,25,7-18-0,354,680,4083,18,23,40,175,1,LSU,College Stats
144,2005,1,1,Alex Smith,QB,21,SFO,2005,2017,0,2,10,81,154,149,86-62-1,2829,4544,31353,180,96,522,2407,14,Utah,College Stats
153,2004,1,1,Eli Manning,QB,23,SDG,2004,2017,0,4,13,109,213,211,110-101-0,4350,7266,50853,335,224,292,539,6,Mississippi,College Stats
171,2003,1,1,Carson Palmer,QB,23,CIN,2004,2017,0,3,12,106,182,181,92-88-1,3941,6307,46247,294,187,301,474,8,USC,College Stats
180,2002,1,1,David Carr,QB,23,HOU,2002,2012,0,0,5,44,94,79,23-56-0,1353,2267,14452,65,71,305,1328,9,Fresno St.,College Stats
200,2001,1,1,Michael Vick,QB,21,ATL,2001,2015,0,4,7,93,143,115,61-51-1,1807,3217,22464,133,88,873,6109,36,Virginia Tech,College Stats
217,1999,1,1,Tim Couch,QB,22,CLE,1999,2003,0,0,4,30,62,59,22-37-0,1025,1714,11131,64,67,124,556,2,Kentucky,College Stats
232,1998,1,1,Peyton Manning,QB,22,IND,1998,2015,7,14,17,177,266,265,186-79-0,6125,9380,71940,539,251,431,667,18,Tennessee,College Stats
277,1993,1,1,Drew Bledsoe,QB,21,NWE,1993,2006,0,4,12,103,194,193,98-95-0,3839,6717,44611,251,206,385,764,10,Washington St.,College Stats
330,1990,1,1,Jeff George,QB,22,IND,1990,2001,0,0,9,65,131,124,46-78-0,2298,3967,27602,154,113,168,307,2,Illinois,College Stats
346,1989,1,1,Troy Aikman ,QB,22,DAL,1989,2000,0,6,11,97,165,165,94-71-0,2898,4715,32942,165,141,327,1016,9,UCLA,College Stats
383,1987,1,1,Vinny Testaverde,QB,23,TAM,1987,2007,0,2,14,97,233,214,90-123-1,3787,6701,46233,275,267,430,1661,15,Miami (FL),College Stats
435,1983,1,1,John Elway ,QB,23,BAL,1983,1998,0,9,16,138,234,231,148-82-1,4123,7250,51475,300,226,774,3407,33,Stanford,College Stats
15,2016,1,2,Carson Wentz,QB,23,PHI,2016,2017,0,0,2,10,29,29,18-11-00,644,1047,7078,49,21,110,449,2,North Dakota St.,College Stats
19,2015,1,2,Marcus Mariota,QB,21,TEN,2015,2017,0,0,3,22,39,39,19-20-0,730,1181,8826,55,33,139,825,9,Oregon,College Stats
51,2012,1,2,Robert Griffin,QB,22,WAS,2012,2016,0,1,2,35,42,40,15-25-0,766,1210,8983,42,26,275,1670,10,Baylor,College Stats
224,1999,1,2,Donovan McNabb,QB,22,PHI,1999,2011,0,6,11,107,167,161,98-62-1,3170,5374,37276,234,117,616,3459,29,Syracuse,College Stats
231,1998,1,2,Ryan Leaf,QB,22,SDG,1998,2001,0,0,0,1,25,21,4-17-0,317,655,3666,14,36,59,127,0,Washington St.,College Stats
282,1993,1,2,Rick Mirer,QB,23,SEA,1993,2003,0,0,5,32,80,68,24-44-0,1088,2043,11969,50,76,242,1130,9,Notre Dame,College Stats
23,2014,1,3,Blake Bortles,QB,22,JAX,2014,2017,0,0,4,28,59,58,20-38-0,1250,2116,14062,85,59,217,1370,7,Central Florida,College Stats
106,2008,1,3,Matt Ryan,QB,23,ATL,2008,2017,1,4,10,111,155,155,93-62-0,3563,5481,40979,257,125,343,973,5,Boston Col.,College Stats
131,2006,1,3,Vince Young,QB,23,TEN,2006,2011,0,2,4,33,60,50,31-19-0,755,1304,8964,46,51,282,1459,12,Texas,College Stats
184,2002,1,3,Joey Harrington,QB,23,DET,2002,2007,0,0,6,30,81,76,26-50-0,1424,2538,14693,79,85,142,402,0,Oregon,College Stats
226,1999,1,3,Akili Smith,QB,24,CIN,1999,2002,0,0,1,1,22,17,3-14-0,215,461,2212,5,13,70,371,1,Oregon,College Stats
263,1995,1,3,Steve McNair,QB,22,HOU,1995,2007,0,3,10,100,161,153,91-62-0,2733,4544,31304,174,119,669,3590,37,Alcorn St.,College Stats
275,1994,1,3,Heath Shuler,QB,22,WAS,1994,1997,0,0,2,6,29,22,8-14-0,292,593,3691,15,33,67,198,1,Tennessee,College Stats
392,1986,1,3,Jim Everett,QB,23,HOU,1986,1997,0,1,10,87,158,153,64-89-0,2841,4923,34837,203,175,257,596,4,Purdue,College Stats
506,1979,1,3,Jack Thompson,QB,23,CIN,1979,1984,0,0,1,13,51,21,4-17-0,449,845,5315,33,45,70,262,6,Washington St.,College Stats
158,2004,1,4,Philip Rivers,QB,22,NYG,2004,2017,0,6,12,128,193,189,104-85-0,4101,6379,49444,337,163,333,568,3,North Carolina St.,College Stats
